date,symbol,direction,signal_time,entry_price,quantity,position_rs,stop_loss,target,rr,strategies_fired,agreeing_count,composite_score,driver_strategy,reason,exit_time,exit_price,exit_reason,result,pnl_rs,pnl_pct,predicted_win_pct,conviction_tier
2021-07-23,JUBLFOOD,LONG,10:25,709.28,704,499333.12,695.915,762.74,4.0,"CAMARILLA,DAILY-BIAS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",12,12.0,CAMARILLA,CAMARILLA: breakout above H4=709.28,15:15,714.4,TIME_EXIT,WIN,2873.63,0.58,60.0,MEDIUM
2021-07-23,FEDERALBNK,SHORT,09:30,84.5,5917,499986.5,85.1,83.30000000000001,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,PDH-PDL,PIN-BAR,REL-STR,RSI-EXT,STOCHASTIC,SUPERTREND,VWAP-REV,VWAP-STDDEV",15,15.0,ORB-15,ORB-15: breakdown below 84.50,13:35,85.1,STOP_HIT,LOSS,-4281.12,-0.86,60.0,MEDIUM
2021-07-26,DMART,LONG,09:20,3424.4625,146,499971.53,3415.73125,3459.3875000000003,4.0,"ADX-FILTER,ASC-TRI,CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",16,16.0,CAMARILLA,CAMARILLA: breakout above H4=3424.46,09:35,3459.3875000000003,TARGET_HIT,EXACT_WIN,4366.14,0.87,60.0,MEDIUM
2021-07-26,INDHOTEL,SHORT,09:30,141.53,3532,499883.96,146.16,132.27,2.0,"BEAR-ENGULF,BOLLINGER,CAMARILLA,CPR,DBL-TOP,FAILED-BO,FIRST-CANDLE,MACD,REL-STR,SR-BREAK,VPOC,VWAP-STDDEV",12,12.0,SR-BREAK,SR-BREAK: breakdown below support 141.53,15:15,141.95,TIME_EXIT,LOSS,-2213.04,-0.44,60.0,MEDIUM
2021-07-27,ICICIPRULI,LONG,09:25,651.15,767,499432.05,644.4281064721954,664.5937870556091,2.0,"BOLLINGER,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,MACD,PDH-PDL,REL-STR,SR-BREAK,SUPERTREND,VPOC,VWAP-STDDEV",14,14.0,EMA-CROSS,"EMA-CROSS: 9EMA crossed above 21EMA, price above VWAP",13:10,644.4281064721954,STOP_HIT,LOSS,-5879.75,-1.18,60.0,MEDIUM
2021-07-27,HINDUNILVR,SHORT,09:50,2348.0,212,497776.0,2357.8,2328.3999999999996,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,CPR,DAILY-BIAS,DBL-TOP,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,RSI-EXT,SR-BREAK,STOCHASTIC",14,14.0,ORB-15,ORB-15: breakdown below 2348.00,15:15,2345.25,TIME_EXIT,LOSS,-142.54,-0.03,60.0,MEDIUM
2021-07-28,ZENSARTECH,LONG,10:45,401.0,1246,499646.0,398.6510204081633,418.54795918367347,7.47,"BOLLINGER,CAMARILLA,DAILY-BIAS,EMA-CROSS,MACD,ORB-15,ORB-30,PIN-BAR,RSI-EXT,SR-BREAK,SUPERTREND,VPOC,VWAP-REV,VWAP-STDDEV",14,14.0,VPOC,VPOC: rejection below VPOC=401.07,15:15,404.95,TIME_EXIT,WIN,4189.38,0.84,60.0,MEDIUM
2021-07-28,ADANIENT,SHORT,13:30,1363.4,366,499004.4,1376.3474999999999,1336.2,2.1,"ADX-FILTER,BEAR-ENGULF,BOLLINGER,CPR,DAILY-BIAS,FIRST-CANDLE,MACD,PIN-BAR,RSI-EXT,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC,VWAP-REV",14,14.0,BEAR-ENGULF,"Bear Engulf at resistance 1381.10, vol 2.0×",15:15,1357.1,TIME_EXIT,WIN,1579.57,0.32,60.0,MEDIUM
2021-07-29,JSWSTEEL,LONG,09:15,723.9367346938775,690,499516.35,721.7418367346938,743.9346938775509,9.11,"CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",12,12.0,VPOC,VPOC: breakout above VAH=723.94,10:30,743.9346938775509,TARGET_HIT,EXACT_WIN,13059.42,2.61,60.0,MEDIUM
2021-07-29,HDFCLIFE,SHORT,09:15,666.6,750,499950.0,681.4975000000001,605.8999999999999,4.07,"BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-TOP,DESC-TRI,FIRST-CANDLE,MACD,ORB-15,PIN-BAR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",13,13.0,DESC-TRI,Descending Triangle: breakdown below support 668.70,15:15,662.65,TIME_EXIT,WIN,2235.35,0.45,60.0,MEDIUM
2021-07-30,INFY,LONG,09:15,1612.0,310,499720.0,1569.2489999999998,1706.0,2.2,"ASC-TRI,CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",14,14.0,ASC-TRI,Ascending Triangle: breakout above resistance 1590.55,15:15,1610.0,TIME_EXIT,LOSS,-1348.04,-0.27,60.0,MEDIUM
2021-07-30,ICICIGI,SHORT,11:30,1502.3,332,498763.6,1513.9,1479.0999999999997,2.0,"BEAR-ENGULF,BOLLINGER,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PIN-BAR,SR-BREAK,STOCHASTIC,SUPERTREND",11,11.0,ORB-15,ORB-15: breakdown below 1502.30,14:40,1479.0999999999997,TARGET_HIT,EXACT_WIN,6979.58,1.4,60.0,MEDIUM
2021-08-02,AMBUJACEM,LONG,12:20,417.115,1198,499703.77,414.5575,427.345,4.0,"ADX-FILTER,BULL-FLAG,CAMARILLA,CPR,DAILY-BIAS,EMA-CROSS,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,SUPERTREND,VPOC",15,15.0,CAMARILLA,CAMARILLA: breakout above H4=417.12,15:15,418.0,TIME_EXIT,WIN,330.88,0.07,60.0,MEDIUM
2021-08-02,BAJAJ-AUTO,SHORT,09:25,3759.5,132,496254.0,3781.3124999999995,3661.0,4.52,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,ORB-30,REL-STR,SR-BREAK,SUPERTREND",12,12.0,FAILED-BO,"Failed BO: bull trap above 3762.50, reversed on vol 2.0×",15:15,3748.0,TIME_EXIT,WIN,795.07,0.16,60.0,MEDIUM
2021-08-03,HCLTECH,LONG,11:30,1034.85,483,499832.55,1025.35,1053.85,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,DBL-BTM,EMA-CROSS,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,VPOC",14,14.0,ORB-15,ORB-15: breakout above 1034.85 (range=9.50),15:15,1038.25,TIME_EXIT,WIN,912.22,0.18,60.0,MEDIUM
2021-08-03,DIXON,SHORT,12:40,4331.2,115,498088.0,4369.85,4253.899999999999,2.0,"DAILY-BIAS,FAILED-BO,FIRST-CANDLE,INTRADAY-STRUCT,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,SUPERTREND,VPOC",12,12.0,ORB-15,ORB-15: breakdown below 4331.20,15:15,4278.15,TIME_EXIT,WIN,5377.93,1.08,60.0,MEDIUM
2021-08-04,SHREECEM,LONG,09:15,29470.2225,16,471523.56,29334.11125,30014.6675,4.0,"CAMARILLA,CPR,DAILY-BIAS,DBL-BTM,EMA-CROSS,FIRST-CANDLE,ORB-15,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC,VWAP-REV,VWAP-STDDEV",15,15.0,CAMARILLA,CAMARILLA: breakout above H4=29470.22,09:45,30014.6675,TARGET_HIT,EXACT_WIN,8014.14,1.7,60.0,MEDIUM
2021-08-04,PNB,SHORT,13:40,39.17,12764,499965.88,39.46,38.59,2.0,"BOLLINGER,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC,VWAP-STDDEV",14,14.0,ORB-15,ORB-15: breakdown below 39.17,14:35,38.59,TARGET_HIT,EXACT_WIN,6678.49,1.34,60.0,MEDIUM
2021-08-05,TCS,LONG,09:40,3280.0,152,498560.0,3263.7,3312.6000000000004,2.0,"DAILY-BIAS,DBL-BTM,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",13,13.0,ORB-15,ORB-15: breakout above 3280.00 (range=16.30),09:50,3312.6000000000004,TARGET_HIT,EXACT_WIN,4224.33,0.85,60.0,MEDIUM
2021-08-05,TRENT,SHORT,11:45,614.7,813,499751.1,626.6,590.9000000000001,2.0,"BOLLINGER,CAMARILLA,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND",12,12.0,ORB-15,ORB-15: breakdown below 614.70,15:15,603.0,TIME_EXIT,WIN,8788.97,1.76,60.0,MEDIUM
2021-08-06,BATAINDIA,LONG,09:40,1679.2225,297,498729.08,1666.3112500000002,1730.8675,4.0,"CAMARILLA,DAILY-BIAS,DBL-BTM,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VPOC",12,12.0,CAMARILLA,CAMARILLA: breakout above H4=1679.22,10:15,1666.3112500000002,STOP_HIT,LOSS,-4558.78,-0.91,60.0,MEDIUM
2021-08-06,GLENMARK,SHORT,11:30,603.55,828,499739.4,607.5727499999999,591.5,3.0,"ADX-FILTER,CPR,DAILY-BIAS,FAILED-BO,FIRST-CANDLE,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,SUPERTREND,VPOC",13,13.0,FAILED-BO,"Failed BO: bull trap above 603.75, reversed on vol 2.0×",15:15,597.0,TIME_EXIT,WIN,4697.95,0.94,60.0,MEDIUM
2021-08-09,OFSS,LONG,09:15,3960.3,126,498997.8,3939.4,4043.9000000000005,4.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,EMA-CROSS,FIRST-CANDLE,INTRADAY-STRUCT,MACD,PIN-BAR,RSI-EXT,SR-BREAK,STOCHASTIC,SUPERTREND,VWAP-REV,VWAP-STDDEV",15,15.0,CAMARILLA,CAMARILLA: breakout above H4=3960.30,11:55,3939.4,STOP_HIT,LOSS,-3358.86,-0.67,60.0,MEDIUM
2021-08-09,MOTHERSON,SHORT,09:45,93.93,5323,499989.39,95.2,91.39000000000001,2.0,"ADX-FILTER,BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,SR-BREAK,STOCHASTIC,SUPERTREND",13,13.0,ORB-15,ORB-15: breakdown below 93.93,11:30,91.39000000000001,TARGET_HIT,EXACT_WIN,12799.25,2.56,60.0,MEDIUM
2021-08-10,ESCORTS,LONG,09:15,1210.280612244898,413,499845.89,1210.0357142857142,1232.321428571429,90.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,INTRADAY-STRUCT,ORB-15,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,STOCHASTIC,VOL-SPIKE,VPOC",14,14.0,VPOC,VPOC: breakout above VAH=1210.28,09:20,1210.0357142857142,STOP_HIT,LOSS,-829.76,-0.17,60.0,MEDIUM
2021-08-10,HINDPETRO,SHORT,12:50,149.7,3340,499998.0,150.9,147.29999999999995,2.0,"BOLLINGER,DAILY-BIAS,DBL-TOP,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,PIN-BAR,SR-BREAK,STOCHASTIC,SUPERTREND,VPOC",13,13.0,ORB-15,ORB-15: breakdown below 149.70,14:00,147.29999999999995,TARGET_HIT,EXACT_WIN,7291.68,1.46,60.0,MEDIUM
2021-08-11,VEDL,LONG,09:15,138.7825,3602,499894.57,137.36624999999998,144.44750000000002,4.0,"ADX-FILTER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,GAP-CONT,INTRADAY-STRUCT,ORB-30,PDH-PDL,PIN-BAR,REL-STR,SR-BREAK,VOL-SPIKE,VPOC,VWAP-REV,VWAP-STDDEV",15,15.0,CAMARILLA,CAMARILLA: breakout above H4=138.78,13:20,144.44750000000002,TARGET_HIT,EXACT_WIN,19660.41,3.93,60.0,MEDIUM
2021-08-11,DALBHARAT,SHORT,09:35,1905.35,262,499201.7,1931.55,1852.9499999999998,2.0,"BOLLINGER,CAMARILLA,DAILY-BIAS,FIRST-CANDLE,MACD,ORB-15,ORB-30,PDH-PDL,REL-STR,RSI-EXT,SR-BREAK,STOCHASTIC,SUPERTREND,VWAP-STDDEV",14,14.0,ORB-15,ORB-15: breakdown below 1905.35,15:15,1902.3,TIME_EXIT,WIN,71.74,0.01,60.0,MEDIUM
